state,state_abv,type,total
Pennsylvania,PA,POP,12820878
Pennsylvania,PA,POT Solar,0.83
Pennsylvania,PA,POT Wind,147546
Pennsylvania,PA,USE Photo,1296391
Pennsylvania,PA,USE Wind,2713
PuertoRico,PR,POP,3032165
PuertoRico,PR,USE Photo,29389
PuertoRico,PR,USE Wind,2
RhodeIsland,RI,POP,1056161
RhodeIsland,RI,POT Solar,0.82
RhodeIsland,RI,POT Wind,112505
RhodeIsland,RI,USE Photo,123878
RhodeIsland,RI,USE Wind,359
SouthCarolina,SC,POP,5210095
SouthCarolina,SC,POT Solar,0.92
SouthCarolina,SC,POT Wind,681507
SouthCarolina,SC,USE Photo,533355
SouthCarolina,SC,USE Wind,1
SouthDakota,SD,POP,903027
SouthDakota,SD,POT Solar,0.87
SouthDakota,SD,POT Wind,27152105
SouthDakota,SD,USE Photo,287
SouthDakota,SD,USE Wind,222
Tennessee,TN,POP,6897576
Tennessee,TN,POT Solar,0.85
Tennessee,TN,POT Wind,8153
Tennessee,TN,USE Photo,388
Tennessee,TN,USE Wind,1
Texas,TX,POP,29472295
Texas,TX,POT Solar,0.98
Texas,TX,POT Wind,47133937
Texas,TX,USE Photo,1046220
Texas,TX,USE Wind,3894
Utah,UT,POP,3282115
Utah,UT,POT Solar,0.95
Utah,UT,POT Wind,207515
Utah,UT,USE Photo,1363807
Utah,UT,USE Wind,377
Virginia,VA,POP,8626207
Virginia,VA,POT Solar,0.87
Virginia,VA,POT Wind,497384
Virginia,VA,USE Photo,303994
Virginia,VA,USE Wind,491
Vermont,VT,POP,628061
Vermont,VT,POT Solar,0.77
Vermont,VT,POT Wind,64183
Vermont,VT,USE Photo,439259
Vermont,VT,USE Wind,262
Washington,WA,POP,7797095
Washington,WA,POT Solar,0.67
Washington,WA,POT Wind,959787
Washington,WA,USE Photo,851393
Washington,WA,USE Wind,688
Wisconsin,WI,POP,5851754
Wisconsin,WI,POT Solar,0.81
Wisconsin,WI,POT Wind,2258833
Wisconsin,WI,USE Photo,175208
Wisconsin,WI,USE Wind,1298
WestVirginia,WV,POP,1778070
WestVirginia,WV,POT Solar,0.79
WestVirginia,WV,POT Wind,38990
WestVirginia,WV,USE Photo,35079
WestVirginia,WV,USE Wind,68
Wyoming,WY,POP,567025
Wyoming,WY,POT Solar,0.96
Wyoming,WY,POT Wind,13814124
Wyoming,WY,USE Photo,16470
Wyoming,WY,USE Wind,3399
