state,State,ST,total_cust_photo,total_stor_cap_photo,tot_stor_cust_photo,total_vir_cust_photo,total_soldback_photo,total_cap_wind,total_cust_wind,total_soldback_wind,total_cap_other,total_cust_other,total_soldback_other,total_cap_photo,total_cap_all,total_custall,res_soldback_all,com_soldback_all,ind_soldback_all,tran_soldback_all,total_soldback_all,Solar Rank,Sun Index,Ann_50MeterCapMW,Ann_80Meter30GenGWH,Ann_80Meter30CapMW,Ann_80Meter35GenGWH,Ann_80Meter35CapMW,Ann_80Meter40GenGWH,Ann_80Meter40CapMW,Ann_100Meter30GenGWH,Ann_100Meter30CapMW,Ann_100Meter35GenGWH,Ann_100Meter35CapMW,Ann_100Meter40GenGWH,Ann_100Meter40CapMW,Ann_Offshore_potenGenerationGWH,Ann_OffshorePotentialCapMW,Ann_Gen_GWH
MI,Michigan,MI,229487,0.35,70,0,1316.58,154.5,25617,66.23,11.07,365,1.35,2207.43,2189.23,234248,949.51,434.43,0.02,0,1383.98,22,0.77,26000,65000,59042,169221,11662,37619,394,1420,179056,523374,39312,129467,6571,23774,422577,1739801
MN,Minnesota,MN,203289,0,0,12795,31826.89,161.61,8131,5166.25,16.33,148,226.21,2975.55,3053.4,214699,8912.92,4840.53,0,0,13753.26,17,0.84,260000,657000,489271,1679480,388907,1392590,175181,681616,603427,2170610,483459,1832230,369909,1457950,29215,100455
MO,Missouri,MO,602721,0,0,0,183359.88,28.14,5543,213.3,1.35,2,0,9583.03,9430.65,595090,117760.61,62105.5,218.87,0,180084.69,14,0.87,21000,52000,274355,810619,78917,256650,6816,24672,399635,1267920,247470,831473,58815,215946,,
MS,Mississippi,MS,10566,0,0,0,6448.03,0.34,34,0,15.89,105,4.04,148.48,163.18,10705,1273.82,962.82,0,0,2236.67,10,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3213,10172
MT,Montana,MT,165430,1.4,70,13990,0.25,117.18,12881,0.01,7.65,424,0,848.4,834.74,172522,0.01,2,0,0,2.01,15,0.86,410000,1020000,944004,3228620,718503,2581510,397857,1529560,1012355,3661840,868012,3247260,586758,2318760,,
NC,North Carolina,NC,420315,0,0,496,61088.1,8.98,1633,127.86,210.69,525,751.8,4114.21,4263.97,416689,43486.46,14877.99,4219.28,0,62583.64,13,0.89,2900,7000,808,2395,196,695,86,337,1500,4461,348,1220,131,518,306020,1269627
ND,North Dakota,ND,2509,0,0,0,1114.99,52.2,3472,1048.06,0,0,0,24.08,65.8,5302,1698.82,214.72,79.89,0,1993.4,1,1.19,480000,1210000,770196,2983750,760034,2954260,692821,2728620,771791,3230900,769479,3224180,756497,3180710,,
NE,Nebraska,NE,19401,0,36,0,2887.75,34.72,4973,401.02,0,0,3.73,233.57,261.91,23767,2022.31,411.74,823.68,4.13,3261.93,18,0.83,340000,868000,917999,3540370,888696,3455480,777165,3084090,921075,3847090,916159,3832600,879966,3712120,,
NH,New Hampshire,NH,408827,0.7,93,1311,2270.8,46.27,8259,0.19,641.89,2895,0,3733.72,4395.72,410128,954.29,1320.49,0,0.1,2274.84,20,0.81,1700,4000,2135,6706,962,3405,405,1593,3919,12263,1707,6046,714,2815,3456,14478
NJ,New Jersey,NJ,5454684,13.08,913,0,23117.22,188.78,4988,44.36,27.39,170,0,106188.07,99298.7,5208331,5883,8379.12,571.07,0,14833.19,3,1.16,4100,10000,132,373,15,47,0,0,349,997,53,171,0,0,101935,429808
NM,New Mexico,NM,977506,3.98,574,0,27679.88,15.56,2260,20.69,1.1,110,15.58,8877.91,8716.8,965253,23879.85,2397.33,0,0,26276.98,18,0.83,170000,435000,492083,1644970,325002,1170490,185745,712877,568112,1966290,407760,1509690,259707,1025110,,
NV,Nevada,NV,1722602,0,0,0,86700.65,847.9,15163,14883.86,25.81,987,477.15,15541.81,15676.14,1696223,33965.73,26597.05,1777.6,0,62340.39,12,0.9,20000,50000,7247,20823,1290,4263,220,810,12034,34478,1917,6328,319,1179,,
NY,New York,NY,5539751,6.58,852,20916,0,569.21,31876,10.9,2089.93,12384,0,58131.87,63099.23,5550391,0,10.9,0,0,10.9,17,0.84,24000,62000,25781,74695,4805,15826,667,2560,57639,172787,20418,67619,3205,11982,146077,614280
OH,Ohio,OH,267717,16.28,1862,0,64384.16,2548.93,33799,52523.42,820.68,1693,3821.72,8000.57,10679.89,272938,23132.46,47521.77,50075.1,0,120729.27,23,0.74,1400,4000,54920,151881,1163,3662,1,3,123328,359816,24823,78712,354,1258,41804,170561
OK,Oklahoma,OK,45012,2.5,412,76312,2509.58,78.3,6253,101.43,3.08,216,0,321.54,657.89,124739,1981.58,585.46,13.1,0,2580.08,6,0.98,290000,725000,516822,1788910,400674,1457740,247773,952678,614804,2236000,505259,1923820,379335,1509670,,
OR,Oregon,OR,1062256,4.28,379,2940,78851.43,87.8,6393,1219.04,309.66,2451,21.33,8653.08,8481.19,1004365,44393.09,21932.95,0,0,66325.98,24,0.71,17000,43000,27100,80855,8094,27517,2207,8439,50566,151033,15588,53040,4393,16760,225008,962723
PA,Pennsylvania,PA,1353975,10.86,1099,7810,1684.38,116.55,26173,1.28,3227.8,5080,0,22692.1,23986.41,1252992,89.37,1071.85,0.08,0,1161.29,18,0.83,18000,45000,3307,9673,811,2685,148,546,7222,21214,1863,6195,347,1290,5674,23571
PR,Puerto Rico,PR,29389,0,0,0,31476.4,0.24,24,11.21,0,0,0,514.86,515.11,29413,12611.73,17699.83,1176.04,0,31487.59,0,0,,,,,,,,,,,,,,,,
RI,Rhode Island,RI,127288,0,0,0,52.14,950.82,2476,41.57,21.18,324,0,2044.64,2918.72,125196,75.9,0,0,0,75.9,19,0.82,380,1000,47,153,28,99,14,55,84,267,41,148,22,87,20965,89115
SC,South Carolina,SC,553461,0,22,3107,241926.54,0,92,0.1,5.1,35,0,5539.59,5531.89,553083,193886.35,13698.05,4580.7,0,212165.01,10,0.92,200,500,185,504,3,11,1,3,1215,3362,19,60,2,7,133217,542218
SD,South Dakota,SD,2849,0,0,0,1954.45,19.21,3004,559.49,0,0,5.82,29.62,43.63,5104,790.49,1112.47,0,0,1902.96,14,0.87,400000,1030000,882412,3411690,852372,3325230,766383,3039460,890626,3690490,875059,3645620,833893,3508870,,
TN,Tennessee,TN,1589,0.13,13,0,1085.31,0.07,85,0.36,0,0,0,34.83,30.43,1462,316.25,515.96,0,0,832.21,16,0.85,640,2000,309,900,65,220,17,66,817,2355,143,479,29,113,,
TX,Texas,TX,1061801,5.66,797,0,27914.93,90.93,14960,13.99,4.43,163,36.5,12891.57,12462.67,1063709,21718.44,5818.47,0,0,27536.83,6,0.98,470000,1190000,1901530,6527850,1360186,4989570,826983,3240930,2320793,8299400,1757356,6696500,1226633,4953700,271443,1101063
UT,Utah,UT,1394133,37.35,2213,0,5262.35,21.52,5762,415.39,31.06,2018,275.73,10319.17,10259.65,1391090,5063.62,245.27,0,0,5308.89,8,0.95,9600,24000,13104,37104,1517,4939,139,511,26237,74704,3390,10988,275,1007,,
VA,Virginia,VA,327532,14.11,2431,76,19936.73,29.93,7462,192.17,106.9,115,4.8,3190.06,3175.4,313052,13979.41,5689.85,449.94,0,20119.18,22,0.77,4800,12000,1793,5395,615,2070,156,592,3466,10336,1111,3747,245,931,89073,361054
VT,Vermont,VT,456597,0,0,4167,26067.66,47.46,4871,3.59,120.86,5226,277.76,5783.52,5709.84,447050,7897.1,14583.65,678.47,0,23159.23,14,0.87,1800,5000,2949,9163,1195,4243,510,2013,5637,17394,2186,7710,888,3495,,
WA,Washington,WA,921025,3.2,441,44366,27237.27,43.77,6741,33.89,24.71,2510,73.1,6540.69,6389.81,938696,25446.78,1423.72,0,0,26870.5,25,0.67,13000,33000,18479,55550,6298,21289,1588,6052,32606,98132,11283,38403,3149,11969,120964,488025
WI,Wisconsin,WI,205425,0,0,769,11473.73,311.96,19825,232.38,201.67,2364,0,2467.04,2995.44,208628,5209.9,5283.71,0,0,10493.5,21,0.79,22000,56000,103757,300136,20741,66171,244,872,215447,650776,86368,284709,11551,41634,80672,317755
WV,West Virginia,WV,51709,6.09,618,463,3362.31,10.97,3324,6.83,2,0,0,390.4,383.01,50890,2791.23,537.56,15.72,0,3344.43,20,0.81,2000,5000,1883,5820,820,2822,280,1066,2772,8627,1270,4394,465,1771,,
WY,Wyoming,WY,33420,0.13,26,0,10164.53,80.63,25359,1061.89,6.87,877,0,236.86,301.97,54624,890.52,155.74,0,0,1046.2,7,0.96,290000,747000,552073,1944340,432083,1601240,262410,1043890,593769,2176620,497132,1900530,351867,1421170,,
